Latitude,Longitude,CD1  (/km^2),CD2  (/km^2),CD3  (/km^2),CD4  (/km^2),WD1 (g/km^2),WD2 (g/km^2),WD3 (g/km^2),WD4 (g/km^2),Sea State,Source,Year,Month,Log_CD1  (/km^2),Log_CD2  (/km^2),Log_CD3  (/km^2),Log_CD4  (/km^2),Log_WD1 (g/km^2),Log_WD2 (g/km^2),Log_WD3 (g/km^2),Log_WD4 (g/km^2),Sea State Normalized,Source_Encoded,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
-33.7817,11.3967,0.0,0.0,2.5,0.3,12.78,903.35,125.86,9.75,4.0,M. Eriksen,2010,6,0.0,0.0,1.252762968495368,0.262364264467491,2.6232182655855123,6.807216453603524,4.843084116205751,2.3749057545736716,0.5,5,False,False,True,False
-34.9098,-43.8572,0.0,0.0,2.5,0.3,0.96,37.75,108.94,9.75,4.0,M. Eriksen,2011,1,0.0,0.0,1.252762968495368,0.262364264467491,0.6729444732424258,3.657130755799356,4.699934762432514,2.3749057545736716,0.5,5,False,False,False,True
-35.082,-45.0112,0.0,0.0,2.5,0.3,4.09,47.94,66.15,9.75,4.0,M. Eriksen,2011,1,0.0,0.0,1.252762968495368,0.262364264467491,1.6272778305624314,3.8905950580145254,4.206928922969246,2.3749057545736716,0.5,5,False,False,False,True
-34.9393,-46.2998,0.0,0.0,2.5,0.3,1.02,42.41,82.44,9.75,3.0,M. Eriksen,2011,2,0.0,0.0,1.252762968495368,0.262364264467491,0.7030975114131134,3.770689829311502,4.424127810692517,2.3749057545736716,0.375,5,False,False,False,True
-35.1497,-47.8308,0.0,0.0,2.5,0.3,2.34,68.33,224.85,9.75,2.0,M. Eriksen,2011,2,0.0,0.0,1.252762968495368,0.262364264467491,1.205970806988609,4.238877712954399,5.419871062100613,2.3749057545736716,0.25,5,False,False,False,True
-34.7158,-49.213,0.0,0.0,828.67,0.3,1.08,61.32,36.19,9.75,2.0,M. Eriksen,2011,3,0.0,0.0,6.721028031369194,0.262364264467491,0.7323678937132266,4.132282401562493,3.6160399079369787,2.3749057545736716,0.25,5,False,True,False,False
18.8899,-155.6586,0.0,0.0,0.0,0.3,0.0,61.48,82.57,9.75,4.5,C. Moore,2007,10,0.0,0.0,0.0,0.262364264467491,0.0,4.1348465055314305,4.425684604013345,2.3749057545736716,0.5625,0,True,False,False,False
18.9173,-155.7009,418.09,0.0,418.09,0.3,0.42,1.46,0.42,9.75,4.0,C. Moore,2007,10,6.038085693992574,0.0,6.038085693992574,0.262364264467491,0.3506568716131694,0.9001613499442714,0.3506568716131694,2.3749057545736716,0.5,0,True,False,False,False
18.9533,-155.7185,721.67,721.67,0.0,0.3,0.24,1.92,0.0,9.75,4.5,C. Moore,2007,10,6.582952686426915,6.582952686426915,0.0,0.262364264467491,0.2151113796169455,1.0715836162801904,0.0,2.3749057545736716,0.5625,0,True,False,False,False
18.1587,-155.9801,0.0,0.0,0.0,0.3,2.04,6.12,0.0,9.75,5.0,C. Moore,2007,10,0.0,0.0,0.0,0.262364264467491,1.1118575154181303,1.9629077254238845,0.0,2.3749057545736716,0.625,0,True,False,False,False
19.2407,-155.1751,156.73,0.0,156.73,0.3,0.31,3.45,3.76,9.75,3.0,C. Moore,2007,11,5.060884710499383,0.0,5.060884710499383,0.262364264467491,0.27002713721306015,1.4929040961781488,1.5602476682433286,2.3749057545736716,0.375,0,True,False,False,False
19.6952,-154.3368,221.59,0.0,2.5,0.3,0.22,10.41,25.26,9.75,3.0,C. Moore,2007,12,5.405331514202519,0.0,1.252762968495368,0.262364264467491,0.1988508587451652,2.4344901638739844,3.26804686887465,2.3749057545736716,0.375,0,False,False,False,True
19.8499,-154.435,617.13,0.0,411.42,0.3,0.41,10.08,20.57,9.75,3.0,C. Moore,2007,12,6.426698791323028,0.0,6.02204224757212,0.262364264467491,0.3435897043900769,2.405141681319138,3.071303460401065,2.3749057545736716,0.375,0,False,False,False,True
19.9206,-154.6866,0.0,0.0,2.5,0.3,1.11,28.75,121.56,9.75,3.0,C. Moore,2007,12,0.0,0.0,1.252762968495368,0.262364264467491,0.7466879474879752,3.392829131991639,4.808600705992281,2.3749057545736716,0.375,0,False,False,False,True
32.5498,-165.8103,0.0,0.0,2.5,0.3,1.77,232.66,25.865000000000002,9.75,3.0,C. Moore,2008,1,0.0,0.0,1.252762968495368,0.262364264467491,1.0188473201992472,5.453867067289003,3.290824324180785,2.3749057545736716,0.375,0,False,False,False,True
32.4721,-166.1064,0.0,0.0,2.5,0.3,0.0,141.25,264.23,9.75,3.0,C. Moore,2008,1,0.0,0.0,1.252762968495368,0.262364264467491,0.0,4.95758607300644,5.580597374085823,2.3749057545736716,0.375,0,False,False,False,True
33.2827,-164.9998,287.29,0.0,2.5,0.3,0.11,188.23,241.21,9.75,2.5,C. Moore,2008,2,5.663966917951902,0.0,1.252762968495368,0.262364264467491,0.10436001532424277,5.242963206415959,5.489805118458235,2.3749057545736716,0.3125,0,False,False,False,True
33.7558,-162.7216,0.0,0.0,2.5,0.3,1.01,413.35,25.865000000000002,9.75,5.0,C. Moore,2008,3,0.0,0.0,1.252762968495368,0.262364264467491,0.6981347220709844,6.026711027295051,3.290824324180785,2.3749057545736716,0.625,0,False,True,False,False
33.7601,-160.4152,0.0,0.0,2.5,0.3,5.31,284.52,170.52,9.75,2.5,C. Moore,2008,4,0.0,0.0,1.252762968495368,0.262364264467491,1.8421356765531218,5.654312079181905,5.144699877882437,2.3749057545736716,0.3125,0,False,True,False,False
34.5145,-157.8488,0.0,0.0,2.5,0.3,11.77,556.82,414.85,9.75,2.5,C. Moore,2008,5,0.0,0.0,1.252762968495368,0.262364264467491,2.547098670044448,6.324036329695821,6.030324618314697,2.3749057545736716,0.3125,0,False,True,False,False
36.1594,-157.5585,0.0,0.0,2.5,0.3,1.39,83.38,496.48,9.75,4.0,C. Moore,2008,6,0.0,0.0,1.252762968495368,0.262364264467491,0.8712933659434193,4.435330406696193,6.20955535478554,2.3749057545736716,0.5,0,False,False,True,False
35.6912,-147.6655,0.0,0.0,2.5,0.3,16.1,862.43,855.73,9.75,2.5,C. Moore,2008,9,0.0,0.0,1.252762968495368,0.262364264467491,2.8390784635086144,6.76091282886937,6.753122816449561,2.3749057545736716,0.3125,0,True,False,False,False
35.8771,-132.573,0.0,0.0,2.5,0.3,5.81,18.56,64.49,9.75,1.0,C. Moore,2008,10,0.0,0.0,1.252762968495368,0.262364264467491,1.918392120161421,2.9734866646066713,4.181897459229962,2.3749057545736716,0.125,0,True,False,False,False
35.8409,-140.8203,0.0,0.0,2.5,0.3,64.78,823.72,25.865000000000002,9.75,2.5,C. Moore,2008,12,0.0,0.0,1.252762968495368,0.262364264467491,4.186315840760911,6.715043934788129,3.290824324180785,2.3749057545736716,0.3125,0,False,False,False,True
35.3814,-141.0245,0.0,0.0,2.5,0.3,64.52,576.8,965.02,9.75,2.0,C. Moore,2008,12,0.0,0.0,1.252762968495368,0.262364264467491,4.182355439544814,6.359227788032134,6.873184537931942,2.3749057545736716,0.25,0,False,False,False,True
35.0049,-141.4513,0.0,0.0,2.5,0.3,31.42,899.24,25.865000000000002,9.75,3.0,C. Moore,2008,11,0.0,0.0,1.252762968495368,0.262364264467491,3.4787755163075302,6.802661394441742,3.290824324180785,2.3749057545736716,0.375,0,True,False,False,False
35.9064,-141.7822,0.0,0.0,2.5,0.3,45.48,866.86,25.865000000000002,9.75,3.0,C. Moore,2008,11,0.0,0.0,1.252762968495368,0.262364264467491,3.8390221125436557,6.766030411329087,3.290824324180785,2.3749057545736716,0.375,0,True,False,False,False
34.679,-142.0756,0.0,0.0,2.5,0.3,33.71,568.84,25.865000000000002,9.75,4.0,C. Moore,2008,11,0.0,0.0,1.252762968495368,0.262364264467491,3.547027829873695,6.345355619670099,3.290824324180785,2.3749057545736716,0.5,0,True,False,False,False
29.301,-162.048,0.0,0.0,2.5,0.3,11.88,343.78,311.83,9.75,2.0,C. Moore,2009,3,0.0,0.0,1.252762968495368,0.262364264467491,2.5556757206762075,5.842906532466833,5.745659912000673,2.3749057545736716,0.25,0,False,True,False,False
29.771,-162.6273,0.0,0.0,2.5,0.3,7.04,237.24,349.67,9.75,2.5,C. Moore,2009,3,0.0,0.0,1.252762968495368,0.262364264467491,2.0844290831908747,5.473278568935699,5.859845610287788,2.3749057545736716,0.3125,0,False,True,False,False
30.5422,-163.2292,0.0,0.0,2.5,0.3,1.22,172.79,147.16,9.75,2.0,C. Moore,2009,4,0.0,0.0,1.252762968495368,0.262364264467491,0.7975071958841881,5.157847673776643,4.998292770897869,2.3749057545736716,0.25,0,False,True,False,False
31.3098,-163.994,0.0,0.0,2.5,0.3,23.8,588.64,25.865000000000002,9.75,1.0,C. Moore,2009,4,0.0,0.0,1.252762968495368,0.262364264467491,3.2108436531709366,6.379512181179077,3.290824324180785,2.3749057545736716,0.125,0,False,True,False,False
31.6068,-164.2543,0.0,0.0,2.5,0.3,6.32,449.59,661.33,9.75,1.0,C. Moore,2009,4,0.0,0.0,1.252762968495368,0.262364264467491,1.9906103279732201,6.110557835119837,6.495763921158411,2.3749057545736716,0.125,0,False,True,False,False
32.7388,-165.2378,0.0,0.0,2.5,0.3,14.43,171.77,25.865000000000002,9.75,2.0,C. Moore,2009,5,0.0,0.0,1.252762968495368,0.262364264467491,2.7363136663750693,5.151961230186691,3.290824324180785,2.3749057545736716,0.25,0,False,True,False,False
34.3688,-169.1825,0.0,0.0,2.5,0.3,1.53,91.8,56.7,9.75,2.0,C. Moore,2009,7,0.0,0.0,1.252762968495368,0.262364264467491,0.9282193027394289,4.530446639792155,4.055257173514054,2.3749057545736716,0.25,0,False,False,True,False
34.3877,-170.019,0.0,0.0,2.5,0.3,10.63,274.7,531.13,9.75,2.0,C. Moore,2009,8,0.0,0.0,1.252762968495368,0.262364264467491,2.453587966530573,5.619313318029751,6.276887820392638,2.3749057545736716,0.25,0,False,False,True,False
35.0628,-171.635,0.0,0.0,2.5,0.3,5.35,143.53,611.51,9.75,2.0,C. Moore,2009,9,0.0,0.0,1.252762968495368,0.262364264467491,1.8484548129046001,4.97348709846075,6.417565268816218,2.3749057545736716,0.25,0,True,False,False,False
35.002,-171.7438,0.0,0.0,2.5,0.3,4.07,90.47,469.01,9.75,2.0,C. Moore,2009,9,0.0,0.0,1.252762968495368,0.262364264467491,1.623340817603092,4.516011049668273,6.152753971073506,2.3749057545736716,0.25,0,True,False,False,False
34.9987,-171.8237,0.0,0.0,2.5,0.3,3.25,44.22,25.865000000000002,9.75,2.0,C. Moore,2009,9,0.0,0.0,1.252762968495368,0.262364264467491,1.4469189829363254,3.811539466849824,3.290824324180785,2.3749057545736716,0.25,0,True,False,False,False
35.0003,-171.9347,0.0,0.0,2.5,0.3,4.82,93.58,309.24,9.75,2.0,C. Moore,2009,9,0.0,0.0,1.252762968495368,0.262364264467491,1.7613002617433464,4.54944603721573,5.737346191494342,2.3749057545736716,0.25,0,True,False,False,False
34.5922,-172.951,0.0,0.0,2.5,0.3,7.88,137.13,155.1,9.75,2.0,C. Moore,2009,10,0.0,0.0,1.252762968495368,0.262364264467491,2.1838015570040787,4.928195270711869,5.050496827521386,2.3749057545736716,0.25,0,True,False,False,False
34.5387,-176.3967,0.0,0.0,2.5,0.3,2.42,455.18,857.09,9.75,0.0,C. Moore,2009,12,0.0,0.0,1.252762968495368,0.262364264467491,1.2296405510745139,6.1228874684684005,6.754708989091751,2.3749057545736716,0.0,0,False,False,False,True
34.4852,-176.4423,0.0,0.0,2.5,0.3,2.77,398.67,25.865000000000002,9.75,0.0,C. Moore,2009,12,0.0,0.0,1.252762968495368,0.262364264467491,1.3270750014599193,5.990639206608194,3.290824324180785,2.3749057545736716,0.0,0,False,False,False,True
34.4678,-176.4583,0.0,0.0,2.5,0.3,3.07,32.67,663.76,9.75,0.0,C. Moore,2009,12,0.0,0.0,1.252762968495368,0.262364264467491,1.4036429994545037,3.516607233172983,6.499426073259323,2.3749057545736716,0.0,0,False,False,False,True
34.4452,-176.4782,0.0,0.0,937.43,0.3,10.22,89.06,15.0,9.75,0.0,C. Moore,2010,12,0.0,0.0,6.844208266137721,0.262364264467491,2.4176979000945504,4.500476114873425,2.772588722239781,2.3749057545736716,0.0,0,False,False,False,True
34.4268,-176.4903,0.0,0.0,2.5,0.3,15.79,51.56,627.64,9.75,1.0,C. Moore,2009,12,0.0,0.0,1.252762968495368,0.262364264467491,2.8207834710894493,3.961955374176355,6.44355875581015,2.3749057545736716,0.125,0,False,False,False,True
25.6292,-158.9848,0.0,0.0,439.53,0.3,1.98,35.38,10.55,9.75,4.0,C. Moore,2009,9,0.0,0.0,6.0879785474840205,0.262364264467491,1.091923300517313,3.5940191730899764,2.446685436967803,2.3749057545736716,0.5,0,True,False,False,False
28.0083,-160.3058,0.0,0.0,2.5,0.3,31.98,163.15,231.07,9.75,3.0,C. Moore,2009,11,0.0,0.0,1.252762968495368,0.262364264467491,3.495901317131453,5.100780643947601,5.447039050294667,2.3749057545736716,0.375,0,True,False,False,False
26.6528,-160.3025,0.0,0.0,2.5,0.3,23.5,77.37,86.46,9.75,2.0,C. Moore,2009,11,0.0,0.0,1.252762968495368,0.262364264467491,3.1986731175506815,4.361441201064773,4.471181545984774,2.3749057545736716,0.25,0,True,False,False,False
31.5383,-156.8608,0.0,0.0,2.5,0.3,0.87,0.29,903.26,9.75,2.0,H.Carson,2011,11,0.0,0.0,1.252762968495368,0.262364264467491,0.6259384308664953,0.2546422183735807,6.80711692965964,2.3749057545736716,0.25,3,True,False,False,False
32.2027,-156.8332,0.0,0.0,2.5,0.3,1.19,162.55,308.57,9.75,4.0,H.Carson,2011,11,0.0,0.0,1.252762968495368,0.262364264467491,0.7839015438284094,5.097118753984393,5.735184237795733,2.3749057545736716,0.5,3,True,False,False,False
14.5523,160.7231,0.0,0.0,979.48,0.3,0.46,3.92,44.31,9.75,4.0,M. Eriksen,2012,7,0.0,0.0,6.888042247672117,0.262364264467491,0.3784364357202451,1.5933085305042167,3.813527758679047,2.3749057545736716,0.5,5,False,False,True,False
15.2175,159.9003,0.0,0.0,554.59,0.3,0.0,17.19,16.64,9.75,2.0,M. Eriksen,2012,8,0.0,0.0,6.320030612158098,0.262364264467491,0.0,2.900871992530031,2.8701690505786455,2.3749057545736716,0.25,5,False,False,True,False
15.7937,159.2056,0.0,359.73,2.5,0.3,0.0,0.0,0.36,9.75,3.0,M. Eriksen,2012,8,0.0,5.888129756061684,1.252762968495368,0.262364264467491,0.0,0.0,0.3074846997479606,2.3749057545736716,0.375,5,False,False,True,False
16.4507,158.5566,0.0,387.59,0.0,0.3,0.0,3.29,0.0,9.75,4.0,M. Eriksen,2012,8,0.0,5.9625248032102744,0.0,0.262364264467491,0.0,1.4562867329399256,0.0,2.3749057545736716,0.5,5,False,False,True,False
17.4912,157.5383,647.66,0.0,323.83,0.3,0.1,13.28,5.51,9.75,3.0,M. Eriksen,2012,9,6.474908696532735,0.0,5.783301968554202,0.262364264467491,0.09531017980432487,2.658859956911438,1.873339456220478,2.3749057545736716,0.375,5,True,False,False,False
17.9596,157.078,724.62,0.0,362.31,0.3,0.22,25.0,163.04,9.75,3.0,M. Eriksen,2012,9,6.5870264618168735,0.0,5.895256464309389,0.262364264467491,0.1988508587451652,3.258096538021482,5.100110300523858,2.3749057545736716,0.375,5,True,False,False,False
